X.1,Total Score,Total Score (inc. COVID),Government,Police,Airports,Schools,Banks/Finance,Workplace,Buses,Trains,COVID
China,5,6,0,0,1,0,1,1,1,1,1
Russian Federation,9,10,1,0,1,1,1,2,2,1,1
United Arab Emirates,10,11,1,1,1,1,1,2,1,2,1
Chile,12,13,1,1,2,2,1,2,2,1,1
India,12,13,1,1,2,2,1,2,2,1,1
Japan,12,14,1,0,1,2,1,3,2,2,2
Australia,13,14,1,1,1,3,1,3,2,1,1
Brazil,13,15,3,2,1,1,1,2,1,2,2
Argentina,16,18,1,0,1,5,1,2,5,1,2
France,17,18,2,1,1,5,1,3,3,1,1
Hungary,17,18,1,1,2,5,2,2,2,2,1
Malaysia,17,19,1,2,1,2,1,2,5,3,2
United Kingdom,17,20,2,2,1,5,1,2,2,2,3
Mexico,18,20,1,1,2,5,2,2,3,2,2
United States of America,18,20,2,2,1,3,1,2,5,2,2
Taiwan,19,20,2,1,1,2,1,2,5,5,1
Romania,19,21,1,2,1,1,1,3,5,5,2
Spain,19,24,2,3,2,5,1,2,1,3,5
Kazakhstan,20,22,2,2,3,4,1,5,1,2,2
South Africa,20,22,1,2,2,3,2,3,5,2,2
Thailand,20,22,1,2,2,2,1,5,5,2,2
Sweden,20,25,3,2,2,5,1,3,2,2,5
Zimbabwe,21,23,1,2,2,5,2,5,2,2,2
Turkey,21,23,1,2,1,5,1,5,3,3,2
South Korea,21,23,2,2,2,5,1,2,4,3,2
Peru,21,23,2,2,2,5,1,2,2,5,2
Canada,21,23,3,1,1,2,1,3,5,5,2
Italy,21,23,2,1,2,2,1,3,5,5,2
Uganda,22,23,0,2,2,5,1,5,2,5,1
Philippines,22,24,1,1,2,5,1,5,5,2,2
Belarus,22,27,2,0,1,5,1,5,5,3,5
Ecuador,22,27,1,1,1,5,2,5,5,2,5
Israel,23,24,1,3,1,5,1,2,5,5,1
Bangladesh,23,25,1,2,3,5,1,5,3,3,2
Germany,23,25,2,2,1,3,2,5,5,3,2
Ukraine,24,26,2,2,2,5,1,5,5,2,2
Portugal,24,29,2,2,1,5,2,2,5,5,5
Saudi Arabia,24,29,1,2,2,5,2,2,5,5,5
Netherlands,24,29,3,1,1,5,1,3,5,5,5
Greece,24,29,1,1,2,5,2,3,5,5,5
Myanmar,24,29,0,1,2,5,1,5,5,5,5
Colombia,25,26,5,2,2,5,1,5,3,2,1
Poland,25,26,3,2,2,5,1,2,5,5,1
Egypt,25,27,1,2,2,5,3,2,5,5,2
Venezuela,25,30,2,2,2,5,2,5,5,2,5
Uzbekistan,25,30,2,1,2,3,5,5,5,2,5
Nigeria,25,30,1,5,5,1,1,2,5,5,5
Czechia,25,30,1,2,2,5,2,3,5,5,5
Austria,25,30,1,1,1,5,2,5,5,5,5
Iraq,26,31,1,2,5,5,1,2,5,5,5
Kenya,26,31,3,2,2,5,2,2,5,5,5
Dominican Republic,26,31,1,1,2,5,2,5,5,5,5
Pakistan,27,32,2,2,2,5,1,5,5,5,5
Indonesia,27,32,1,2,2,5,2,5,5,5,5
Vietnam,28,30,1,2,3,5,2,5,5,5,2
Sri Lanka,29,31,5,2,2,5,2,3,5,5,2
Iran,29,34,1,1,5,5,2,5,5,5,5
Bolivia,30,32,5,1,5,5,2,2,5,5,2
Serbia,30,32,2,2,5,5,1,5,5,5,2
Afghanistan,30,35,1,5,5,5,2,2,5,5,5
Guatemala,30,35,5,2,2,5,1,5,5,5,5
Ghana,30,35,1,5,2,5,2,5,5,5,5
Nepal,30,35,1,5,2,5,2,5,5,5,5
Papua New Guinea,30,35,1,5,2,5,2,5,5,5,5
Niger,30,35,1,2,5,5,2,5,5,5,5
Tajikistan,31,36,2,5,2,5,5,5,5,2,5
Zambia,31,36,1,5,3,5,2,5,5,5,5
Angola,31,36,2,2,5,5,2,5,5,5,5
Algeria,31,36,2,2,2,5,5,5,5,5,5
Morocco,32,35,2,2,5,5,3,5,5,5,3
Jordan,33,38,5,5,5,5,1,2,5,5,5
Mozambique,33,38,1,5,5,5,2,5,5,5,5
Senegal,33,38,1,5,5,5,2,5,5,5,5
Tanzania,34,39,5,5,2,5,2,5,5,5,5
Côte d'Ivoire,34,39,2,5,5,5,2,5,5,5,5
Belgium,34,39,5,3,3,5,3,5,5,5,5
Azerbaijan,34,39,5,2,2,5,5,5,5,5,5
Mali,34,39,2,2,5,5,5,5,5,5,5
Tunisia,34,39,2,2,5,5,5,5,5,5,5
Cambodia,36,41,5,5,5,5,1,5,5,5,5
Burkina Faso,36,41,1,5,5,5,5,5,5,5,5
Cameroon,36,41,1,5,5,5,5,5,5,5,5
Chad,36,41,1,5,5,5,5,5,5,5,5
Guinea,36,41,1,5,5,5,5,5,5,5,5
Rwanda,37,39,5,5,2,5,5,5,5,5,2
Ethiopia,37,39,2,5,5,5,5,5,5,5,2
Democratic Republic of Congo,37,42,5,5,5,5,2,5,5,5,5
Honduras,37,42,5,5,5,5,2,5,5,5,5
Malawi,37,42,5,5,5,5,2,5,5,5,5
Yemen,37,42,2,5,5,5,5,5,5,5,5
Benin,38,43,3,5,5,5,5,5,5,5,5
Sudan,39,44,5,5,4,5,5,5,5,5,5
Somalia,39,44,4,5,5,5,5,5,5,5,5
Cuba,40,42,5,5,5,5,5,5,5,5,2
Burundi,40,45,5,5,5,5,5,5,5,5,5
Haiti,40,45,5,5,5,5,5,5,5,5,5
Madagascar,40,45,5,5,5,5,5,5,5,5,5
South Sudan,40,45,5,5,5,5,5,5,5,5,5
Syria,40,45,5,5,5,5,5,5,5,5,5
